Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2,Price
5613,145,1.0,39.832523870299354,23.16922266530641,8.0,7,8.0,1966,0.118537385,B,B,30,6207,1,1183.0,1,0,B,177734.5534071411
7968,143,3.0,78.34221506646014,47.67197161462768,10.0,2,17.0,1988,0.025609157,B,B,33,5261,0,240.0,3,1,B,282078.7208500433
7842,143,1.0,40.40990691527505,,1.0,10,22.0,1977,0.0071223169999999995,B,B,1,264,0,,0,1,B,168106.00763001086
1797,7,2.0,64.28506724828556,38.56251674804049,9.0,16,16.0,1972,0.282797669,B,B,33,8667,2,,0,6,B,343995.10296205425
8933,171,3.0,62.528464615950185,47.10383298933234,6.0,9,9.0,1972,0.012338886,B,B,35,5776,1,2078.0,2,4,B,161044.94413780785
65,27,1.0,33.938750019723045,21.77293026842016,9.0,1,12.0,1968,0.23220508399999998,B,B,24,4860,1,80.0,0,3,B,142402.73927153
8694,99,2.0,50.3918142242363,32.89325633384121,8.0,8,17.0,1986,0.019508796000000002,B,B,37,7687,11,176.0,5,5,B,326174.1751906913
4354,125,3.0,79.86747667320513,75.08512538271577,1.0,3,17.0,2014,0.24320451899999998,B,B,5,1564,0,540.0,0,0,B,194756.02394527625
7222,22,3.0,74.19904875578756,44.73588895764597,10.0,5,14.0,2008,0.035145267,B,B,42,9292,3,2620.0,0,3,B,512797.3734005682
8382,81,1.0,47.56444337054507,23.574422811627468,13.0,9,24.0,2012,0.050900058,B,B,43,10621,1,30.0,2,3,B,199556.86590520246
9866,41,2.0,43.871025862772036,26.11438626655661,5.0,5,9.0,1969,0.265088676,B,B,37,5288,0,1937.0,3,2,B,213001.5152692308
9150,9,3.0,81.99479026880738,43.68879835806401,10.0,2,22.0,2008,0.08761909,B,B,8,1497,5,,1,0,B,481360.3607276174
